Unnamed: 0,Title,Author,Main Genre,Sub Genre,Type,Price,Rating,No. of People rated,URLs
16,Greenlights: Raucous stories and outlaw wisdom from the Academy Award-winning actor,Matthew McConaughey,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,₹371.70,4.6,32040.0,https://www.amazon.in/Greenlights-Raucous-stories-Academy-Award-winning-ebook/dp/B08DFKSZDF/ref=zg_bs_g_1318054031_d_sccl_17/000-0000000-0000000?psc=1
17,BRUCE LEE,Matthew Polly,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹424.00,4.7,915.0,https://www.amazon.in/Bruce-Lee-Life-Matthew-Polly/dp/1471175723/ref=zg_bs_g_1318054031_d_sccl_18/000-0000000-0000000?psc=1
18,JOURNEYS IN THE WILD,Sir David Attenborough,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹438.00,4.6,389.0,https://www.amazon.in/JOURNEYS-WILD-Sir-David-Attenborough/dp/1841883115/ref=zg_bs_g_1318054031_d_sccl_19/000-0000000-0000000?psc=1
19,Speaking Of Films (The Penguin Ray Library),Satyajit Ray,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹207.00,4.6,311.0,https://www.amazon.in/Speaking-Films-Satyajit-Ray/dp/0144000261/ref=zg_bs_g_1318054031_d_sccl_20/000-0000000-0000000?psc=1
20,Jadunama: Javed Akhtar Ek Safar (Hindi),Arvind Mandloi,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,"₹1,358.00",4.3,27.0,https://www.amazon.in/JADUNAMA-Javed-Akhtar-Safar-Hindi/dp/935543233X/ref=zg_bs_g_1318054031_d_sccl_21/000-0000000-0000000?psc=1
21,"Satyajit Ray Miscellany: On Life, Cinema",Satyajit Ray,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹401.00,4.6,127.0,https://www.amazon.in/Satyajit-Ray-Miscellany-Penguin-Library/dp/0143448994/ref=zg_bs_g_1318054031_d_sccl_22/000-0000000-0000000?psc=1
22,Unscripted: Conversations on Life and Ci: Conversations on Life and Cinema,Abhijat Joshi,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,₹423.00,4.5,309.0,https://www.amazon.in/Unscripted-Conversations-Vidhu-Vinod-Chopra/dp/0670094587/ref=zg_bs_g_1318054031_d_sccl_23/000-0000000-0000000?psc=1
23,"FANTASTIC BEASTS: THE SECRETS OF DUMBLEDORE � THE COMPLETE SCREENPLAY [Hardcover] Rowling, J.K. and Kloves, Steve",J.K. Rowling,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,₹587.00,4.6,1280.0,https://www.amazon.in/FANTASTIC-BEASTS-DUMBLEDORE-SCREENPLAY-Hardcover/dp/1408717433/ref=zg_bs_g_1318054031_d_sccl_24/000-0000000-0000000?psc=1
24,Conversations with Mani Ratnam (PB),Baradwaj Rangan,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹389.00,4.6,305.0,https://www.amazon.in/Conversations-Mani-Ratnam-Baradwaj-Rangan/dp/0143421107/ref=zg_bs_g_1318054031_d_sccl_25/000-0000000-0000000?psc=1
25,Hitchcock,Francois Truffaut,"Arts, Film & Photography",Cinema & Broadcast,Paperback,"₹1,463.00",4.7,787.0,https://www.amazon.in/Hitchcock-Francois-Truffaut/dp/0571333699/ref=zg_bs_g_1318054031_d_sccl_26/000-0000000-0000000?psc=1
26,Indian Cinema: A Very Short Introduction (Very Short Introductions),Ashish Rajadhyaksha,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,₹176.32,4.2,22.0,https://www.amazon.in/Indian-Cinema-Short-Introduction-Introductions-ebook/dp/B01GGF2FKU/ref=zg_bs_g_1318054031_d_sccl_27/000-0000000-0000000?psc=1
27,Basu Chatterji And Middle-of-the-Road Ci: And Middle-of-the-Road Cinema,Anirudha Bhattacharjee,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,₹413.00,4.8,22.0,https://www.amazon.in/Basu-Chatterji-Middle-Road-Ci/dp/0670096253/ref=zg_bs_g_1318054031_d_sccl_28/000-0000000-0000000?psc=1
28,Changing The Lens: Exploring The Depths Of Film And Philosophy,Dr Ruplekha Khullar & Sulagna Pal,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,₹445.00,0.0,0.0,https://www.amazon.in/Changing-Lens-Exploring-Depths-Philosophy/dp/8119670949/ref=zg_bs_g_1318054031_d_sccl_29/000-0000000-0000000?psc=1
29,This Life at Play: Memoirs,Girish Karnad,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹344.00,4.6,168.0,https://www.amazon.in/This-Life-at-Play-Memoirs/dp/9354895840/ref=zg_bs_g_1318054031_d_sccl_30/000-0000000-0000000?psc=1
30,The Supernatural Quiz Book: 500 Questions and Answers on Supernatural: 500 Questions and Answers on Supernatural Season 1,Light Bulb Quizzes,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹404.00,5.0,4.0,https://www.amazon.in/Supernatural-Quiz-Book-Questions-Answers/dp/0993203000/ref=zg_bs_g_1318054031_d_sccl_1/000-0000000-0000000?psc=1
31,Avatar: The Last Airbender The Art of the Animated Series (Second Edition),Michael Dante DiMartino,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,"₹2,148.00",4.9,1615.0,https://www.amazon.in/Avatar-Last-Airbender-Animated-Second/dp/1506721699/ref=zg_bs_g_1318054031_d_sccl_2/000-0000000-0000000?psc=1
32,On Directing Film,David Mamet,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹608.00,4.4,848.0,https://www.amazon.in/Directing-Film-David-Mamet/dp/0140127224/ref=zg_bs_g_1318054031_d_sccl_3/000-0000000-0000000?psc=1
33,The Magic of MinaLima: Celebrating the Graphic Design Studio Behind the Harry Potter & Fantastic Beasts Films,MinaLima,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,"₹1,709.83",4.8,595.0,https://www.amazon.in/Magic-MinaLima/dp/0008505500/ref=zg_bs_g_1318054031_d_sccl_4/000-0000000-0000000?psc=1
34,ILLUSION OF LIFE,Frank Thomas,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,"₹4,079.00",4.9,1903.0,https://www.amazon.in/ILLUSION-LIFE-DISNEY-ANIMATION-Editions/dp/0786860707/ref=zg_bs_g_1318054031_d_sccl_5/000-0000000-0000000?psc=1
35,Sara Aakash [Paperback] Rajendra Yadav,Rajendra Yadav,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹131.00,4.4,177.0,https://www.amazon.in/Sara-Aakash-Rajendra-Yadav/dp/8183612539/ref=zg_bs_g_1318054031_d_sccl_6/000-0000000-0000000?psc=1
36,The Nutshell Technique: Crack the Secret of Successful Screenwriting,Jill Chamberlain,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,₹448.35,4.6,593.0,https://www.amazon.in/Nutshell-Technique-Secret-Successful-Screenwriting-ebook/dp/B0170CKMMG/ref=zg_bs_g_1318054031_d_sccl_7/000-0000000-0000000?psc=1
37,Pixar Storytelling: Rules for Effective Storytelling Based on Pixar's Greatest Films,Dean Movshovitz,"Arts, Film & Photography",Cinema & Broadcast,Paperback,"₹1,441.00",4.4,778.0,https://www.amazon.in/Pixar-Storytelling-Effective-Pixars-Greatest/dp/1717736408/ref=zg_bs_g_1318054031_d_sccl_8/000-0000000-0000000?psc=1
38,Madhubala: Her Real Life Story (General Press),Manju Gupta,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹135.00,3.6,400.0,https://www.amazon.in/Madhubala-Her-Real-Life-Story/dp/9380914962/ref=zg_bs_g_1318054031_d_sccl_9/000-0000000-0000000?psc=1
39,Jiya Jale: The Stories of Songs,Gulzar (In conversation with Nasreen Munni Kabir),"Arts, Film & Photography",Cinema & Broadcast,Hardcover,₹385.00,4.6,289.0,https://www.amazon.in/Gulzar-conversation-Nasreen-Munni-Kabir/dp/938807095X/ref=zg_bs_g_1318054031_d_sccl_10/000-0000000-0000000?psc=1
40,Will,Will Smith,"Arts, Film & Photography",Cinema & Broadcast,Audible Audiobook,"₹1,093.00",4.6,22078.0,https://www.amazon.in/Audible-Will/dp/B097N8BQ7W/ref=zg_bs_g_1318054031_d_sccl_11/000-0000000-0000000?psc=1
41,Mahanati savitri- venditera samragni (Mahanati savitri- venditera samragni),pallavi rg,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,₹250.00,4.5,22.0,https://www.amazon.in/Mahanati-savitri-venditera-samragni/dp/B00ZU57BU2/ref=zg_bs_g_1318054031_d_sccl_12/000-0000000-0000000?psc=1
42,The Musical Maverick: The Authorized Biography of Shankar Mahadevan,Ashis Ghatak,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,₹610.00,0.0,0.0,https://www.amazon.in/Musical-Maverick-Authorized-Biography-Mahadevan/dp/935702672X/ref=zg_bs_g_1318054031_d_sccl_13/000-0000000-0000000?psc=1
43,"Winter Kisses at Roseford Café: A escapist, romantic festive read from Fay Keenan",Fay Keenan,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,₹192.04,4.4,1423.0,https://www.amazon.in/Winter-Kisses-at-Roseford-Caf%C3%A9-ebook/dp/B09VB37ZQZ/ref=zg_bs_g_1318054031_d_sccl_14/000-0000000-0000000?psc=1
44,Sara Aakash Patkatha (Hindi Edition),Rajendra Yadav & Basu Chatterji,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,₹147.00,4.4,177.0,https://www.amazon.in/Aakash-Patkatha-Hindi-Rajendra-Chatterji-ebook/dp/B07J4ZT2SH/ref=zg_bs_g_1318054031_d_sccl_15/000-0000000-0000000?psc=1
45,"Bondhu: My Father, My Friend (The India List)",Kunal Sen,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹346.00,4.4,14.0,https://www.amazon.in/Bondhu-Father-Friend-India-List/dp/180309317X/ref=zg_bs_g_1318054031_d_sccl_16/000-0000000-0000000?psc=1
46,Batman Begins: The Screenplay: Including Storyboards and Exclusive Interviews,Christopher Nolan,"Arts, Film & Photography",Cinema & Broadcast,Paperback,"₹1,596.00",4.5,46.0,https://www.amazon.in/Batman-Begins-Christopher-Nolan/dp/0571229948/ref=zg_bs_g_1318054031_d_sccl_17/000-0000000-0000000?psc=1
47,The Science of Interstellar,Kip Thorne,"Arts, Film & Photography",Cinema & Broadcast,Paperback,"₹1,795.00",4.7,2048.0,https://www.amazon.in/Science-Interstellar-Kip-Thorne/dp/0393351378/ref=zg_bs_g_1318054031_d_sccl_18/000-0000000-0000000?psc=1
48,"STORY MAPS: The Dark Knight Trilogy (Batman Begins, The Dark Knight, The Dark Knight Rises)",Daniel Calvisi,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,₹81.42,4.2,9.0,https://www.amazon.in/STORY-MAPS-Knight-Trilogy-Batman-ebook/dp/B00GBJBB0C/ref=zg_bs_g_1318054031_d_sccl_19/000-0000000-0000000?psc=1
49,"Animator's Survival Kit, The",Richard E. Williams,"Arts, Film & Photography",Cinema & Broadcast,Paperback,"₹2,435.00",4.8,6242.0,https://www.amazon.in/Animators-Survival-Kit-Richard-Williams/dp/0571238343/ref=zg_bs_g_1318054031_d_sccl_20/000-0000000-0000000?psc=1
50,Beyond the Story: 10-Year Record of BTS,BTS and Myeongseok Kang,"Arts, Film & Photography",Music,Hardcover,₹999.00,4.7,5422.0,https://www.amazon.in/Beyond-Story-10-Year-Record-BTS/dp/103503154X/ref=zg_bs_g_1318059031_d_sccl_1/000-0000000-0000000?psc=1
51,THE ARTIST'S WAY,Julia Cameron,"Arts, Film & Photography",Music,Paperback,₹519.00,4.5,10871.0,https://www.amazon.in/ARTISTS-WAY-Julia-Cameron/dp/1788164296/ref=zg_bs_g_1318059031_d_sccl_2/000-0000000-0000000?psc=1
52,Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Grade 1,Trinity College London Press,"Arts, Film & Photography",Music,Sheet music,₹801.00,4.6,642.0,https://www.amazon.in/Trinity-Electronic-Keyboard-Technical-2019-2022/dp/0857367781/ref=zg_bs_g_1318059031_d_sccl_3/000-0000000-0000000?psc=1
53,Malibu Rising,Taylor Jenkins Reid,"Arts, Film & Photography",Music,Paperback,₹279.00,4.2,70056.0,https://www.amazon.in/Malibu-Rising-SUNDAY-BESTSELLER-TIKTOK/dp/1529157145/ref=zg_bs_g_1318059031_d_sccl_4/000-0000000-0000000?psc=1
54,Six String Entertainment Pvt Ltd Blank Music manuscript book- 12 Stave : 32 pages (16 sheets),SIX STRING MUSIC,"Arts, Film & Photography",Music,Paperback,₹249.00,4.4,259.0,https://www.amazon.in/Music-manuscript-book-12-Stave/dp/B08CSWMZ13/ref=zg_bs_g_1318059031_d_sccl_5/000-0000000-0000000?psc=1
55,Piano 2021-2023. Grade 1,Trinity College London,"Arts, Film & Photography",Music,Sheet music,₹599.00,4.5,878.0,https://www.amazon.in/Piano-Exam-Pieces-Exercises-2021-2023/dp/0857369156/ref=zg_bs_g_1318059031_d_sccl_6/000-0000000-0000000?psc=1
56,Trinity College London Piano Exam Pieces Plus Exercises 2021-2023: Initial,Trinity College London,"Arts, Film & Photography",Music,Sheet music,₹765.00,4.6,317.0,https://www.amazon.in/Piano-Exam-Pieces-Exercises-2021-2023/dp/0857369148/ref=zg_bs_g_1318059031_d_sccl_7/000-0000000-0000000?psc=1
57,Trinity College London Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Initial Grade: And Technical Work - Initial Grade,Joanna Clarke,"Arts, Film & Photography",Music,Sheet music,₹679.00,4.4,662.0,https://www.amazon.in/Trinity-Electronic-Keyboard-Technical-2019-2022/dp/0857367773/ref=zg_bs_g_1318059031_d_sccl_8/000-0000000-0000000?psc=1
58,Trinity College London Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Grade 3,Trinity College London Press,"Arts, Film & Photography",Music,Sheet music,₹975.84,4.6,237.0,https://www.amazon.in/Trinity-Electronic-Keyboard-Technical-2019-2022/dp/0857367803/ref=zg_bs_g_1318059031_d_sccl_9/000-0000000-0000000?psc=1
59,Trinity College London Piano Exam Pieces Plus Exercises from 2023: Grade 2: 12 Pieces for Trinity College London Exams from 2023,Trinity College London,"Arts, Film & Photography",Music,Sheet music,₹923.00,4.4,7.0,https://www.amazon.in/Trinity-College-London-Pieces-Exercises/dp/1804903124/ref=zg_bs_g_1318059031_d_sccl_10/000-0000000-0000000?psc=1
60,John Thompson's Easiest Piano Course - Part 1 - Book Only: Part 1 - Book Only,John Thompson,"Arts, Film & Photography",Music,Paperback,₹585.00,4.5,5471.0,https://www.amazon.in/John-Thompsons-Easiest-Piano-Course/dp/0877180121/ref=zg_bs_g_1318059031_d_sccl_11/000-0000000-0000000?psc=1
61,Trinity College London Piano Exam Pieces Plus Exercises from 2023: Grade 3: Extended Edition: 21 Pieces for Trinity College London Exams from 2023,Trinity College London,"Arts, Film & Photography",Music,Sheet music,"₹1,913.00",4.6,14.0,https://www.amazon.in/Trinity-College-London-Pieces-Exercises/dp/1804903329/ref=zg_bs_g_1318059031_d_sccl_12/000-0000000-0000000?psc=1
62,Trinity College London Acoustic Guitar Exam Pieces 2020–2023: Initial–Grade 2: Initial to Grade 2,Trinity College London,"Arts, Film & Photography",Music,Sheet music,"₹2,139.09",4.5,379.0,https://www.amazon.in/Trinity-College-London-Acoustic-2020-2023/dp/0857368958/ref=zg_bs_g_1318059031_d_sccl_13/000-0000000-0000000?psc=1
63,"Six String Entertainment Pvt Ltd Music manuscript Book- 12 stave: 100 pages, 50 Sheet (Leaves)",SIX STRING MUSIC,"Arts, Film & Photography",Music,Paperback,₹350.00,4.4,100.0,https://www.amazon.in/Music-manuscript-Book-12-stave/dp/8194718554/ref=zg_bs_g_1318059031_d_sccl_14/000-0000000-0000000?psc=1
64,"WHEN IN ROME: The charming new rom-com from the author of the TikTok sensation, THE CHEAT SHEET!",Sarah Adams,"Arts, Film & Photography",Music,Paperback,₹435.00,4.2,6960.0,https://www.amazon.in/When-Rome-charming-rom-com-sensation/dp/1472297059/ref=zg_bs_g_1318059031_d_sccl_15/000-0000000-0000000?psc=1
65,John Thompson's Modern Course for the Piano - First Grade (Book Only): First Grade - English: The First Grade Book : Something New Every Lesson,John Thompson,"Arts, Film & Photography",Music,Paperback,₹600.00,4.7,2992.0,https://www.amazon.in/John-Thompsons-Modern-Course-Piano/dp/0877180059/ref=zg_bs_g_1318059031_d_sccl_16/000-0000000-0000000?psc=1
66,"Theory of Music Workbook Grade 1 (2007): Ursula Moray Williams, Gobbolino and the Little Wooden Horse",Trinity College London,"Arts, Film & Photography",Music,Sheet music,₹810.51,4.6,990.0,https://www.amazon.in/Theory-Music-Workbook-Trinity-Guildhall/dp/0857360000/ref=zg_bs_g_1318059031_d_sccl_17/000-0000000-0000000?psc=1
67,Lekin,Edited by Dr. Kumar Vishwas Jon (Jaun Elia),"Arts, Film & Photography",Music,Paperback,₹232.00,4.4,84.0,https://www.amazon.in/Lekin-Edited-Kumar-Vishwas-Jaun/dp/9390678587/ref=zg_bs_g_1318059031_d_sccl_18/000-0000000-0000000?psc=1
68,Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Grade 2,Trinity College London Press,"Arts, Film & Photography",Music,Sheet music,₹802.00,4.6,383.0,https://www.amazon.in/Trinity-Electronic-Keyboard-Technical-2019-2022/dp/085736779X/ref=zg_bs_g_1318059031_d_sccl_19/000-0000000-0000000?psc=1
69,Alfred's Basic Piano Library: Prep Course Lesson Book Level B,Willard Palmer,"Arts, Film & Photography",Music,Paperback,₹580.00,4.8,769.0,https://www.amazon.in/Alfreds-Basic-Piano-Library-Course/dp/0882848224/ref=zg_bs_g_1318059031_d_sccl_20/000-0000000-0000000?psc=1
70,Sangeeta Bala Padam - Varnam Part 2,Giri,"Arts, Film & Photography",Music,Paperback,₹194.00,4.6,291.0,https://www.amazon.in/Sangeeta-Bala-Padam-Varnam-Part/dp/8179505286/ref=zg_bs_g_1318059031_d_sccl_21/000-0000000-0000000?psc=1
71,Standard Wirebound Manuscript Paper (Green Cover),Hal Leonard,"Arts, Film & Photography",Music,Spiral-bound,₹451.00,4.7,9115.0,https://www.amazon.in/Standard-Wire-Bound-Manuscript-Paper/dp/0881884995/ref=zg_bs_g_1318059031_d_sccl_22/000-0000000-0000000?psc=1
72,Sangeeta Bala Padam - Varnam Part - 2 (Hardcover),Giri,"Arts, Film & Photography",Music,Hardcover,₹220.00,4.8,59.0,https://www.amazon.in/Sangeeta-Bala-Padam-Varnam-Hardcover/dp/8179508781/ref=zg_bs_g_1318059031_d_sccl_23/000-0000000-0000000?psc=1
73,THE CHEAT SHEET: TikTok made me buy it! The friends-to-lovers rom-com hit sensation!,Sarah Adams,"Arts, Film & Photography",Music,Paperback,₹413.00,4.2,17341.0,https://www.amazon.in/Cheat-Sheet-friends-lovers-sensation/dp/1472297032/ref=zg_bs_g_1318059031_d_sccl_24/000-0000000-0000000?psc=1
74,Trinity College London Piano Exam Pieces Plus Exercises from 2023: Grade 1: 12 Pieces for Trinity College London Exams from 2023,Trinity College London,"Arts, Film & Photography",Music,Sheet music,₹924.00,4.8,12.0,https://www.amazon.in/Trinity-College-London-Pieces-Exercises/dp/1804903108/ref=zg_bs_g_1318059031_d_sccl_25/000-0000000-0000000?psc=1
75,Just Kids,Patti Smith,"Arts, Film & Photography",Music,Paperback,₹760.00,4.5,9371.0,https://www.amazon.in/Just-Kids-Patti-Smith/dp/0060936223/ref=zg_bs_g_1318059031_d_sccl_26/000-0000000-0000000?psc=1
76,Daisy Jones and The Six,Taylor Jenkins Reid,"Arts, Film & Photography",Music,Paperback,₹334.00,4.3,82376.0,https://www.amazon.in/Daisy-Jones-Six-most-novel/dp/1787462145/ref=zg_bs_g_1318059031_d_sccl_27/000-0000000-0000000?psc=1
77,Hindustani Sangeet Paddhati Kramik Pustak Malika Part 1,Pandit Vishnu Narayan Bhatkhande,"Arts, Film & Photography",Music,Hardcover,₹140.00,4.1,96.0,https://www.amazon.in/Hindustani-Sangeet-Paddhati-Kramik-Pustak/dp/8185057125/ref=zg_bs_g_1318059031_d_sccl_28/000-0000000-0000000?psc=1
78,Trinity College London Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Grade 4,Trinity College London,"Arts, Film & Photography",Music,Sheet music,₹903.00,4.7,173.0,https://www.amazon.in/Trinity-Electronic-Keyboard-Technical-2019-2022/dp/0857367811/ref=zg_bs_g_1318059031_d_sccl_29/000-0000000-0000000?psc=1
79,"Raag Parichay Part 1, 2, 3, and 4 (Combo Set of 4 Books)",Pt. Harishchandra Shrivastava,"Arts, Film & Photography",Music,Paperback,₹700.00,4.5,1080.0,https://www.amazon.in/Raag-parichay-Harish-Chandra-Shrivastava/dp/B00LEANUUC/ref=zg_bs_g_1318059031_d_sccl_30/000-0000000-0000000?psc=1
80,Kotha Sangeeta Vidyadarpanam,Sri Ekha Subba Rao,"Arts, Film & Photography",Music,Paperback,₹458.00,4.4,47.0,https://www.amazon.in/Kotha-Sangeeta-Vidyadarpanam-Ekha-Subba/dp/B00KID2JBM/ref=zg_bs_g_1318059031_d_sccl_1/000-0000000-0000000?psc=1
81,John Thompson's Easiest Piano Course - Part 2 - Book Only: Part 2 - Book Only,John Thompson,"Arts, Film & Photography",Music,Paperback,₹495.00,4.7,1743.0,https://www.amazon.in/John-Thompsons-Easiest-Piano-Course/dp/087718013X/ref=zg_bs_g_1318059031_d_sccl_2/000-0000000-0000000?psc=1
82,"Alfred's Basic Adult Piano Course Lesson Book, Bk 1",Willard A Palmer,"Arts, Film & Photography",Music,Paperback,"₹1,121.00",4.7,4243.0,https://www.amazon.in/Alfreds-Basic-Adult-Piano-Course/dp/0882846167/ref=zg_bs_g_1318059031_d_sccl_3/000-0000000-0000000?psc=1
83,"Discovering Music Theory, The ABRSM Grade 1 Workbook",ABRSM,"Arts, Film & Photography",Music,Sheet music,₹850.00,4.7,1505.0,https://www.amazon.in/Discovering-Music-Theory-Workbook-workbooks/dp/1786013452/ref=zg_bs_g_1318059031_d_sccl_4/000-0000000-0000000?psc=1
84,Sanchita's Bollywood Song Notations - Book 2 (Hindi),Sanchita Pandey,"Arts, Film & Photography",Music,Paperback,₹500.00,4.5,15.0,https://www.amazon.in/Sanchitas-Bollywood-Song-Notations-Hindi/dp/1636406882/ref=zg_bs_g_1318059031_d_sccl_5/000-0000000-0000000?psc=1
85,J I YA JALE THE STORIES OF SONGS,Nasreen Munni Kabir Gulzar,"Arts, Film & Photography",Music,Paperback,₹289.00,4.6,289.0,https://www.amazon.in/YA-JALE-STORIES-SONGS/dp/9354473687/ref=zg_bs_g_1318059031_d_sccl_6/000-0000000-0000000?psc=1
